Gene stable ID	Transcript stable ID	Transcript stable ID version	HGNC ID	HGNC symbol	Gene start (bp)	Gene end (bp)	Transcription start site (TSS)	GENCODE basic annotation	APPRIS annotation	RefSeq match transcript	Transcript start (bp)	Transcript end (bp)
ENSG00000157625	ENST00000378930	ENST00000378930.7	HGNC:30681	TAB3	30827442	30975084	30859720	GENCODE basic	principal4		30827443	30859720
ENSG00000231542	ENST00000428263	ENST00000428263.1	HGNC:20176	TAB3-AS1	30834623	30835300	30834623	GENCODE basic			30834623	30835300
ENSG00000235512	ENST00000445240	ENST00000445240.1	HGNC:40013	TAB3-AS2	30854321	30854707	30854321	GENCODE basic			30854321	30854707
ENSG00000132446	ENST00000359202	ENST00000359202.5	HGNC:3987	FTHL17	31071233	31072041	31072041	GENCODE basic	principal1	NM_031894.3	31071233	31072041
ENSG00000198947	ENST00000481143	ENST00000481143.2	HGNC:2928	DMD	31097677	33339441	31169556				31097677	31169556
ENSG00000198947	ENST00000378723	ENST00000378723.7	HGNC:2928	DMD	31097677	33339441	31266952	GENCODE basic			31119219	31266952
ENSG00000198947	ENST00000358062	ENST00000358062.6	HGNC:2928	DMD	31097677	33339441	31875373				31119221	31875373
ENSG00000198947	ENST00000378677	ENST00000378677.6	HGNC:2928	DMD	31097677	33339441	33128360	GENCODE basic	alternative2		31119228	33128360
ENSG00000198947	ENST00000357033	ENST00000357033.9	HGNC:2928	DMD	31097677	33339441	33211549	GENCODE basic	principal4	NM_004006.3	31119222	33211549
ENSG00000198947	ENST00000378702	ENST00000378702.8	HGNC:2928	DMD	31097677	33339441	31266857	GENCODE basic			31121184	31266857
ENSG00000198947	ENST00000474231	ENST00000474231.5	HGNC:2928	DMD	31097677	33339441	32155469	GENCODE basic			31121397	32155469
ENSG00000198947	ENST00000361471	ENST00000361471.8	HGNC:2928	DMD	31097677	33339441	31266907	GENCODE basic			31121556	31266907
ENSG00000198947	ENST00000378680	ENST00000378680.6	HGNC:2928	DMD	31097677	33339441	31266949	GENCODE basic			31121673	31266949
ENSG00000198947	ENST00000378705	ENST00000378705.3	HGNC:2928	DMD	31097677	33339441	31206600				31169586	31206600
ENSG00000198947	ENST00000475732	ENST00000475732.1	HGNC:2928	DMD	31097677	33339441	31182927				31178439	31182927
ENSG00000198947	ENST00000469142	ENST00000469142.1	HGNC:2928	DMD	31097677	33339441	31435654				31209525	31435654
ENSG00000198947	ENST00000634285	ENST00000634285.1	HGNC:2928	DMD	31097677	33339441	31261778				31261108	31261778
ENSG00000198947	ENST00000634315	ENST00000634315.1	HGNC:2928	DMD	31097677	33339441	31323630				31261108	31323630
ENSG00000198947	ENST00000445312	ENST00000445312.1	HGNC:2928	DMD	31097677	33339441	31508481				31478319	31508481
ENSG00000198947	ENST00000471779	ENST00000471779.1	HGNC:2928	DMD	31097677	33339441	31836783				31729686	31836783
ENSG00000198947	ENST00000488902	ENST00000488902.5	HGNC:2928	DMD	31097677	33339441	33211554				31932116	33211554
ENSG00000198947	ENST00000493412	ENST00000493412.1	HGNC:2928	DMD	31097677	33339441	32348510				32342631	32348510
ENSG00000198947	ENST00000420596	ENST00000420596.5	HGNC:2928	DMD	31097677	33339441	33211312				32364681	33211312
ENSG00000198947	ENST00000448370	ENST00000448370.5	HGNC:2928	DMD	31097677	33339441	33211312				32364681	33211312
ENSG00000198947	ENST00000288447	ENST00000288447.8	HGNC:2928	DMD	31097677	33339441	33339441	GENCODE basic			32516596	33339441
ENSG00000198947	ENST00000480751	ENST00000480751.1	HGNC:2928	DMD	31097677	33339441	32816553				32573592	32816553
ENSG00000198947	ENST00000447523	ENST00000447523.1	HGNC:2928	DMD	31097677	33339441	32849802				32573611	32849802
ENSG00000198947	ENST00000472681	ENST00000472681.1	HGNC:2928	DMD	31097677	33339441	33129077				32849728	33129077
ENSG00000198947	ENST00000472266	ENST00000472266.1	HGNC:2928	DMD	31097677	33339441	33128427				33020186	33128427
ENSG00000198947	ENST00000463609	ENST00000463609.1	HGNC:2928	DMD	31097677	33339441	33211432				33159195	33211432
ENSG00000198947	ENST00000378707	ENST00000378707.7	HGNC:2928	DMD	31097677	33339441	32155469	GENCODE basic			31119228	32155469
ENSG00000198947	ENST00000343523	ENST00000343523.6	HGNC:2928	DMD	31097677	33339441	31508298	GENCODE basic			31119228	31508298
ENSG00000198947	ENST00000541735	ENST00000541735.5	HGNC:2928	DMD	31097677	33339441	32155469	GENCODE basic			31119228	32155469
ENSG00000198947	ENST00000359836	ENST00000359836.5	HGNC:2928	DMD	31097677	33339441	32155469	GENCODE basic			31119228	32155469
ENSG00000198947	ENST00000619831	ENST00000619831.4	HGNC:2928	DMD	31097677	33339441	33128165	GENCODE basic			31119228	33128165
ENSG00000198947	ENST00000620040	ENST00000620040.4	HGNC:2928	DMD	31097677	33339441	33211312	GENCODE basic			31119228	33211312
ENSG00000252903	ENST00000517094	ENST00000517094.2	HGNC:47857	RNU6-894P	31348192	31348296	31348192	GENCODE basic			31348192	31348296
ENSG00000285900	ENST00000648644	ENST00000648644.1			31411033	31413701	31411033	GENCODE basic			31411033	31413701
ENSG00000222922	ENST00000410990	ENST00000410990.1	HGNC:43401	RNA5SP501	32102065	32102176	32102065	GENCODE basic			32102065	32102176
ENSG00000236285	ENST00000458237	ENST00000458237.1	HGNC:7928	NPM1P8	32205902	32206738	32205902	GENCODE basic			32205902	32206738
ENSG00000263600	ENST00000578518	ENST00000578518.1	HGNC:38955	MIR3915	32583656	32583752	32583752	GENCODE basic			32583656	32583752
ENSG00000221348	ENST00000408421	ENST00000408421.1	HGNC:35309	MIR548F5	32641474	32641559	32641559	GENCODE basic			32641474	32641559
ENSG00000236828	ENST00000439592	ENST00000439592.1	HGNC:40185	DMD-AS3	32754940	32756400	32754940	GENCODE basic			32754940	32756400
ENSG00000226781	ENST00000436520	ENST00000436520.1	HGNC:42630	TBCAP1	33041395	33041721	33041395	GENCODE basic			33041395	33041721
ENSG00000215310	ENST00000399993	ENST00000399993.2			33410944	33412173	33410944	GENCODE basic			33410944	33412173
ENSG00000287700	ENST00000653485	ENST00000653485.1			33718958	33726013	33726013	GENCODE basic			33718958	33726013
ENSG00000233928	ENST00000654494	ENST00000654494.1			33726337	34346527	33726460				33726460	33942731
ENSG00000233928	ENST00000445233	ENST00000445233.1			33726337	34346527	33742118				33742118	33942235
ENSG00000233928	ENST00000439992	ENST00000439992.6			33726337	34346527	33726439				33726439	33942284
ENSG00000233928	ENST00000670405	ENST00000670405.1			33726337	34346527	33726379				33726379	33942723
ENSG00000233928	ENST00000656777	ENST00000656777.1			33726337	34346527	33726389				33726389	34306551
ENSG00000233928	ENST00000659014	ENST00000659014.1			33726337	34346527	33726384				33726384	33853978
ENSG00000233928	ENST00000664553	ENST00000664553.1			33726337	34346527	33726337	GENCODE basic			33726337	34078228
ENSG00000233928	ENST00000668394	ENST00000668394.1			33726337	34346527	33726346	GENCODE basic			33726346	34346527
ENSG00000233928	ENST00000665499	ENST00000665499.1			33726337	34346527	33726425	GENCODE basic			33726425	33915859
ENSG00000233928	ENST00000653446	ENST00000653446.1			33726337	34346527	33726451	GENCODE basic			33726451	34346515
ENSG00000233928	ENST00000662177	ENST00000662177.1			33726337	34346527	33726460	GENCODE basic			33726460	34276093
ENSG00000233928	ENST00000665540	ENST00000665540.1			33726337	34346527	33726463	GENCODE basic			33726463	34169490
ENSG00000233928	ENST00000656973	ENST00000656973.1			33726337	34346527	33726537				33726537	34301344
ENSG00000233928	ENST00000670793	ENST00000670793.1			33726337	34346527	34272727				34272727	34344284
ENSG00000185448	ENST00000346193	ENST00000346193.4	HGNC:29962	FAM47A	34129756	34132314	34132311	GENCODE basic	principal4		34129756	34132311
ENSG00000185448	ENST00000613251	ENST00000613251.1	HGNC:29962	FAM47A	34129756	34132314	34132314	GENCODE basic	alternative2		34129758	34132314
ENSG00000185638	ENST00000482930	ENST00000482930.1	HGNC:39090	FTH1P14	34147036	34147586	34147036	GENCODE basic			34147036	34147586
ENSG00000233571	ENST00000412652	ENST00000412652.1			34206725	34415537	34415537	GENCODE basic			34206725	34415537
ENSG00000236072	ENST00000454146	ENST00000454146.1	HGNC:54922	SRSF2P1	34387722	34388464	34387722	GENCODE basic			34387722	34388464
ENSG00000271136	ENST00000605319	ENST00000605319.1			34516920	34517358	34516920	GENCODE basic			34516920	34517358
ENSG00000147027	ENST00000275954	ENST00000275954.4	HGNC:18515	TMEM47	34627075	34657285	34657285	GENCODE basic	principal1	NM_031442.4	34627075	34657285
ENSG00000225384	ENST00000445763	ENST00000445763.1			34717440	34717992	34717992	GENCODE basic			34717440	34717992
ENSG00000273704	ENST00000618994	ENST00000618994.1			34768327	34768688	34768688	GENCODE basic			34768327	34768688
ENSG00000189132	ENST00000329357	ENST00000329357.6	HGNC:26659	FAM47B	34942796	34944915	34942796	GENCODE basic	principal1	NM_152631.3	34942796	34944915
ENSG00000229347	ENST00000427910	ENST00000427910.1			35058927	35059974	35058927	GENCODE basic			35058927	35059974
ENSG00000252411	ENST00000516602	ENST00000516602.1	HGNC:48050	RNU6-1087P	35594173	35594273	35594173	GENCODE basic			35594173	35594273
ENSG00000230227	ENST00000479411	ENST00000479411.1	HGNC:30966	SIAH1P1	35626142	35627064	35626142	GENCODE basic			35626142	35627064
ENSG00000233663	ENST00000446972	ENST00000446972.1			35710911	35711942	35710911	GENCODE basic			35710911	35711942
ENSG00000271088	ENST00000605789	ENST00000605789.1			35741600	35744582	35741600	GENCODE basic			35741600	35744582
ENSG00000233880	ENST00000434731	ENST00000434731.1	HGNC:54923	NFYCP1	35761499	35762479	35761499	GENCODE basic			35761499	35762479
ENSG00000189023	ENST00000399988	ENST00000399988.5	HGNC:21188	MAGEB16	35798342	35803735	35798342	GENCODE basic	alternative2		35798342	35803735
ENSG00000189023	ENST00000399992	ENST00000399992.5	HGNC:21188	MAGEB16	35798342	35803735	35798342	GENCODE basic	principal4		35798342	35803735
ENSG00000189023	ENST00000399987	ENST00000399987.5	HGNC:21188	MAGEB16	35798342	35803735	35798342	GENCODE basic	alternative2		35798342	35803735
ENSG00000189023	ENST00000399989	ENST00000399989.5	HGNC:21188	MAGEB16	35798342	35803735	35798342	GENCODE basic	alternative2		35798342	35803735
ENSG00000189023	ENST00000399985	ENST00000399985.1	HGNC:21188	MAGEB16	35798342	35803735	35798791	GENCODE basic	alternative2		35798791	35803735
ENSG00000271519	ENST00000603371	ENST00000603371.1			35864858	35869631	35864858	GENCODE basic			35864858	35869631
ENSG00000165164	ENST00000297866	ENST00000297866.9	HGNC:26708	CFAP47	35919734	36385317	35919734	GENCODE basic	alternative2		35919734	35990147
ENSG00000165164	ENST00000378653	ENST00000378653.8	HGNC:26708	CFAP47	35919734	36385317	35919734	GENCODE basic	principal4	NM_001304548.2	35919734	36385317
ENSG00000165164	ENST00000493930	ENST00000493930.1	HGNC:26708	CFAP47	35919734	36385317	35919781				35919781	35990152
ENSG00000165164	ENST00000378660	ENST00000378660.5	HGNC:26708	CFAP47	35919734	36385317	36035791				36035791	36145070
ENSG00000165164	ENST00000446478	ENST00000446478.1	HGNC:26708	CFAP47	35919734	36385317	36361326				36361326	36379803
ENSG00000165164	ENST00000630521	ENST00000630521.1	HGNC:26708	CFAP47	35919734	36385317	36361330				36361330	36379446
ENSG00000165164	ENST00000313548	ENST00000313548.5	HGNC:26708	CFAP47	35919734	36385317	36065661	GENCODE basic	alternative2		36065661	36144809
ENSG00000206733	ENST00000384006	ENST00000384006.1	HGNC:47604	RNU6-641P	36021939	36022045	36022045	GENCODE basic			36021939	36022045
ENSG00000229384	ENST00000447155	ENST00000447155.1	HGNC:39098	HMGB1P16	36211096	36211635	36211096	GENCODE basic			36211096	36211635
ENSG00000226484	ENST00000455438	ENST00000455438.2			36365626	36440292	36440292	GENCODE basic			36365626	36440292
ENSG00000233921	ENST00000419621	ENST00000419621.2	HGNC:36041	RPS15AP40	36374793	36375183	36375183	GENCODE basic			36374793	36375183
ENSG00000286475	ENST00000666628	ENST00000666628.1			36678678	36866689	36866689	GENCODE basic			36678678	36866689
ENSG00000249467	ENST00000508758	ENST00000508758.1	HGNC:53959	H2AL1QP	36719918	36720221	36719918	GENCODE basic			36719918	36720221
ENSG00000275314	ENST00000610750	ENST00000610750.1			36794500	36795460	36795460	GENCODE basic			36794500	36795460
ENSG00000235510	ENST00000421222	ENST00000421222.1			36957913	36958139	36957913	GENCODE basic			36957913	36958139
ENSG00000223723	ENST00000453595	ENST00000453595.1	HGNC:54930	TFDP1P2	36962196	36963425	36963425	GENCODE basic			36962196	36963425
ENSG00000231069	ENST00000418104	ENST00000418104.1			36985523	36986093	36986093	GENCODE basic			36985523	36986093
ENSG00000198173	ENST00000358047	ENST00000358047.5	HGNC:25301	FAM47C	37008366	37011664	37008366	GENCODE basic	principal1	NM_001013736.3	37008366	37011664
ENSG00000243048	ENST00000412071	ENST00000412071.1	HGNC:3988	FTHL18	37043023	37043571	37043571	GENCODE basic			37043023	37043571
ENSG00000214071	ENST00000435382	ENST00000435382.1			37077851	37078401	37078401	GENCODE basic			37077851	37078401
ENSG00000233810	ENST00000446060	ENST00000446060.1	HGNC:42639	MOB1AP2	37291168	37292227	37291168	GENCODE basic			37291168	37292227
ENSG00000130962	ENST00000378628	ENST00000378628.9	HGNC:9469	PRRG1	37349309	37457292	37349364	GENCODE basic	principal1	NM_001142395.2	37349364	37457291
ENSG00000130962	ENST00000491253	ENST00000491253.1	HGNC:9469	PRRG1	37349309	37457292	37349309				37349309	37453647
ENSG00000130962	ENST00000466533	ENST00000466533.5	HGNC:9469	PRRG1	37349309	37457292	37349330				37349330	37453411
ENSG00000130962	ENST00000484460	ENST00000484460.5	HGNC:9469	PRRG1	37349309	37457292	37349364				37349364	37453308
ENSG00000130962	ENST00000449135	ENST00000449135.6	HGNC:9469	PRRG1	37349309	37457292	37349372	GENCODE basic	principal1		37349372	37457289
ENSG00000130962	ENST00000463135	ENST00000463135.1	HGNC:9469	PRRG1	37349309	37457292	37349379	GENCODE basic			37349379	37442224
ENSG00000130962	ENST00000470290	ENST00000470290.1	HGNC:9469	PRRG1	37349309	37457292	37425752				37425752	37453646
ENSG00000130962	ENST00000542554	ENST00000542554.5	HGNC:9469	PRRG1	37349309	37457292	37349330	GENCODE basic	principal1		37349330	37457292
ENSG00000130962	ENST00000543642	ENST00000543642.5	HGNC:9469	PRRG1	37349309	37457292	37349330	GENCODE basic	principal1		37349330	37457292
ENSG00000250349	ENST00000465127	ENST00000465127.1			37349330	38687674	37349330	GENCODE basic	principal1		37349330	38687674
ENSG00000241607	ENST00000413104	ENST00000413104.1			37441523	37442068	37441523	GENCODE basic			37441523	37442068
ENSG00000219186	ENST00000402402	ENST00000402402.2	HGNC:33525	FTH1P19	37492021	37492548	37492021	GENCODE basic			37492021	37492548
ENSG00000234355	ENST00000449509	ENST00000449509.1	HGNC:39091	FTH1P27	37505310	37505860	37505310	GENCODE basic			37505310	37505860
ENSG00000174678	ENST00000402340	ENST00000402340.2	HGNC:34342	FAM47DP	37541077	37545262	37545262	GENCODE basic			37541077	37545262
ENSG00000147036	ENST00000378621	ENST00000378621.7	HGNC:24767	LANCL3	37571569	37684463	37571569	GENCODE basic			37571569	37684463
ENSG00000147036	ENST00000378619	ENST00000378619.4	HGNC:24767	LANCL3	37571569	37684463	37571661	GENCODE basic	principal1	NM_001170331.2	37571661	37684463
ENSG00000147036	ENST00000614025	ENST00000614025.4	HGNC:24767	LANCL3	37571569	37684463	37571569	GENCODE basic			37571569	37668431
ENSG00000047597	ENST00000378616	ENST00000378616.5	HGNC:12811	XK	37685791	37732130	37685791	GENCODE basic	principal1	NM_021083.4	37685791	37732130
ENSG00000285944	ENST00000649891	ENST00000649891.2	HGNC:53961	H2AL1SP	37700005	37700277	37700005	GENCODE basic			37700005	37700277
ENSG00000165168	ENST00000378588	ENST00000378588.5	HGNC:2578	CYBB	37780059	37813461	37780059	GENCODE basic	principal1	NM_000397.4	37780059	37813461
ENSG00000165168	ENST00000492288	ENST00000492288.1	HGNC:2578	CYBB	37780059	37813461	37798220				37798220	37804079
ENSG00000165169	ENST00000378581	ENST00000378581.7	HGNC:11694	DYNLT3	37836757	37847571	37847514	GENCODE basic			37836757	37847514
ENSG00000165169	ENST00000378578	ENST00000378578.9	HGNC:11694	DYNLT3	37836757	37847571	37847571	GENCODE basic	principal1	NM_006520.3	37838836	37847571
ENSG00000165169	ENST00000432389	ENST00000432389.2	HGNC:11694	DYNLT3	37836757	37847571	37847408	GENCODE basic			37840543	37847408
ENSG00000206983	ENST00000384256	ENST00000384256.1	HGNC:34293	RNU6-49P	37870109	37870215	37870109	GENCODE basic			37870109	37870215
ENSG00000259977	ENST00000567273	ENST00000567273.1			37906147	37949405	37906147	GENCODE basic			37906147	37949405
ENSG00000224339	ENST00000428051	ENST00000428051.1	HGNC:10546	SC4MOP	37945884	37946775	37945884	GENCODE basic			37945884	37946775
ENSG00000187516	ENST00000341016	ENST00000341016.5	HGNC:18417	H2AP	37990779	37991314	37990779	GENCODE basic	principal1	NM_012274.2	37990779	37991314
ENSG00000229674	ENST00000448797	ENST00000448797.2	HGNC:53960	H2AL1RP	37994252	37994918	37994252	GENCODE basic	principal1		37994252	37994918
ENSG00000147041	ENST00000297875	ENST00000297875.7	HGNC:15589	SYTL5	38006553	38128819	38006553	GENCODE basic	alternative2	NM_138780.3	38006553	38128816
ENSG00000147041	ENST00000456733	ENST00000456733.2	HGNC:15589	SYTL5	38006553	38128819	38033534	GENCODE basic	principal4		38033534	38128819
ENSG00000221466	ENST00000408539	ENST00000408539.2	HGNC:41600	MIR548AJ2	38023895	38023986	38023986	GENCODE basic			38023895	38023986
ENSG00000101955	ENST00000378533	ENST00000378533.4	HGNC:11309	SRPX	38149336	38220924	38220871	GENCODE basic	principal4	NM_006307.5	38149339	38220871
ENSG00000101955	ENST00000479015	ENST00000479015.1	HGNC:11309	SRPX	38149336	38220924	38160098				38149351	38160098
ENSG00000101955	ENST00000461865	ENST00000461865.1	HGNC:11309	SRPX	38149336	38220924	38154581				38149631	38154581
ENSG00000101955	ENST00000432886	ENST00000432886.6	HGNC:11309	SRPX	38149336	38220924	38220924	GENCODE basic			38149336	38220924
ENSG00000101955	ENST00000544439	ENST00000544439.5	HGNC:11309	SRPX	38149336	38220924	38220924	GENCODE basic	alternative2		38149336	38220924
ENSG00000101955	ENST00000538295	ENST00000538295.5	HGNC:11309	SRPX	38149336	38220924	38220924	GENCODE basic			38149336	38220924
ENSG00000226679	ENST00000423919	ENST00000423919.1			38221391	38223667	38221391	GENCODE basic			38221391	38223667
ENSG00000156313	ENST00000642395	ENST00000642395.2	HGNC:10295	RPGR	38269163	38327544	38327509	GENCODE basic	alternative2	NM_000328.3	38269163	38327509
ENSG00000156313	ENST00000476559	ENST00000476559.2	HGNC:10295	RPGR	38269163	38327544	38273942				38269343	38273942
ENSG00000156313	ENST00000482855	ENST00000482855.5	HGNC:10295	RPGR	38269163	38327544	38327422				38269349	38327422
ENSG00000156313	ENST00000642170	ENST00000642170.1	HGNC:10295	RPGR	38269163	38327544	38326952				38269402	38326952
ENSG00000156313	ENST00000644238	ENST00000644238.1	HGNC:10295	RPGR	38269163	38327544	38327515	GENCODE basic			38269402	38327515
ENSG00000156313	ENST00000642739	ENST00000642739.1	HGNC:10295	RPGR	38269163	38327544	38327527				38269414	38327527
ENSG00000156313	ENST00000645124	ENST00000645124.1	HGNC:10295	RPGR	38269163	38327544	38327503				38269497	38327503
ENSG00000156313	ENST00000644337	ENST00000644337.1	HGNC:10295	RPGR	38269163	38327544	38327535	GENCODE basic			38269497	38327535
ENSG00000156313	ENST00000474584	ENST00000474584.5	HGNC:10295	RPGR	38269163	38327544	38327506				38269520	38327506
ENSG00000156313	ENST00000646020	ENST00000646020.1	HGNC:10295	RPGR	38269163	38327544	38327528				38269527	38327528
ENSG00000156313	ENST00000494707	ENST00000494707.6	HGNC:10295	RPGR	38269163	38327544	38304772				38273430	38304772
ENSG00000156313	ENST00000645032	ENST00000645032.1	HGNC:10295	RPGR	38269163	38327544	38327509	GENCODE basic	principal4		38284408	38327509
ENSG00000156313	ENST00000494841	ENST00000494841.1	HGNC:10295	RPGR	38269163	38327544	38304831				38297308	38304831
ENSG00000156313	ENST00000464437	ENST00000464437.1	HGNC:10295	RPGR	38269163	38327544	38301371				38298331	38301371
ENSG00000156313	ENST00000642558	ENST00000642558.1	HGNC:10295	RPGR	38269163	38327544	38327515				38298970	38327515
ENSG00000156313	ENST00000647261	ENST00000647261.1	HGNC:10295	RPGR	38269163	38327544	38327544	GENCODE basic			38303601	38327544
ENSG00000156313	ENST00000642373	ENST00000642373.1	HGNC:10295	RPGR	38269163	38327544	38327528				38304700	38327528
ENSG00000156313	ENST00000470183	ENST00000470183.1	HGNC:10295	RPGR	38269163	38327544	38318990				38317246	38318990
ENSG00000156313	ENST00000339363	ENST00000339363.7	HGNC:10295	RPGR	38269163	38327544	38327535	GENCODE basic	alternative2		38269171	38327535
ENSG00000252050	ENST00000516241	ENST00000516241.1			38308112	38308241	38308241	GENCODE basic			38308112	38308241
ENSG00000036473	ENST00000039007	ENST00000039007.5	HGNC:8512	OTC	38352586	38421446	38352604	GENCODE basic	principal1	NM_000531.6	38352604	38421446
ENSG00000036473	ENST00000643344	ENST00000643344.1	HGNC:8512	OTC	38352586	38421446	38352586				38352586	38421067
ENSG00000036473	ENST00000488812	ENST00000488812.1	HGNC:8512	OTC	38352586	38421446	38352605				38352605	38403667
ENSG00000227988	ENST00000445734	ENST00000445734.1	HGNC:42350	TDGF1P1	38395369	38395895	38395895	GENCODE basic			38395369	38395895
ENSG00000232370	ENST00000317902	ENST00000317902.7	HGNC:54932	BAG1P1	38479215	38479913	38479215	GENCODE basic			38479215	38479913
ENSG00000229735	ENST00000446400	ENST00000446400.1	HGNC:37966	FTLP16	38484752	38485264	38485264	GENCODE basic			38484752	38485264
ENSG00000233007	ENST00000428234	ENST00000428234.1	HGNC:50288	UBTFL11	38531923	38534174	38534174	GENCODE basic			38531923	38534174
ENSG00000156298	ENST00000378482	ENST00000378482.7	HGNC:11854	TSPAN7	38561542	38688920	38561542	GENCODE basic	principal1	NM_004615.4	38561542	38688918
ENSG00000156298	ENST00000471410	ENST00000471410.5	HGNC:11854	TSPAN7	38561542	38688920	38561542				38561542	38688168
ENSG00000156298	ENST00000480976	ENST00000480976.5	HGNC:11854	TSPAN7	38561542	38688920	38561544				38561544	38674265
ENSG00000156298	ENST00000475216	ENST00000475216.5	HGNC:11854	TSPAN7	38561542	38688920	38561544				38561544	38688271
ENSG00000156298	ENST00000286824	ENST00000286824.6	HGNC:11854	TSPAN7	38561542	38688920	38561544	GENCODE basic			38561544	38688397
ENSG00000156298	ENST00000488893	ENST00000488893.5	HGNC:11854	TSPAN7	38561542	38688920	38570683				38570683	38675816
ENSG00000156298	ENST00000494037	ENST00000494037.1	HGNC:11854	TSPAN7	38561542	38688920	38612322				38612322	38671416
ENSG00000156298	ENST00000419600	ENST00000419600.3	HGNC:11854	TSPAN7	38561542	38688920	38666096				38666096	38688920
ENSG00000238606	ENST00000458919	ENST00000458919.1	HGNC:34103	RNU7-7P	38608215	38608276	38608215	GENCODE basic			38608215	38608276
ENSG00000235806	ENST00000432359	ENST00000432359.1			38770331	38799658	38770331	GENCODE basic			38770331	38799658
ENSG00000287729	ENST00000669592	ENST00000669592.1			38779584	38800678	38800678	GENCODE basic			38779584	38800678
ENSG00000165175	ENST00000614558	ENST00000614558.2	HGNC:20715	MID1IP1	38801432	38806537	38801432	GENCODE basic	principal1		38801432	38806528
ENSG00000165175	ENST00000457894	ENST00000457894.5	HGNC:20715	MID1IP1	38801432	38806537	38801440	GENCODE basic	principal1		38801440	38806446
ENSG00000165175	ENST00000378474	ENST00000378474.3	HGNC:20715	MID1IP1	38801432	38806537	38801454	GENCODE basic	principal1		38801454	38806433
ENSG00000165175	ENST00000336949	ENST00000336949.7	HGNC:20715	MID1IP1	38801432	38806537	38801455	GENCODE basic	principal1		38801455	38806537
ENSG00000238123	ENST00000436893	ENST00000436893.1	HGNC:40932	MID1IP1-AS1	38801568	38803883	38803883	GENCODE basic			38801568	38803883
ENSG00000207122	ENST00000384394	ENST00000384394.1	HGNC:47554	RNU6-591P	39081180	39081285	39081285	GENCODE basic			39081180	39081285
ENSG00000224610	ENST00000438026	ENST00000438026.1			39226103	39299786	39299786	GENCODE basic			39226103	39299786
ENSG00000235304	ENST00000448597	ENST00000448597.1	HGNC:50337	LINC01281	39304956	39327362	39327362	GENCODE basic			39304956	39327362
ENSG00000235304	ENST00000429281	ENST00000429281.1	HGNC:50337	LINC01281	39304956	39327362	39327361				39305634	39327361
ENSG00000235304	ENST00000655040	ENST00000655040.1	HGNC:50337	LINC01281	39304956	39327362	39322485				39305741	39322485
ENSG00000236747	ENST00000431646	ENST00000431646.1	HGNC:50338	LINC01282	39367285	39391807	39391774	GENCODE basic			39367285	39391774
ENSG00000236747	ENST00000648247	ENST00000648247.1	HGNC:50338	LINC01282	39367285	39391807	39379226				39367289	39379226
ENSG00000236747	ENST00000670107	ENST00000670107.1	HGNC:50338	LINC01282	39367285	39391807	39391807	GENCODE basic			39376122	39391807
ENSG00000234191	ENST00000438867	ENST00000438867.1	HGNC:50339	LINC01283	39401252	39434824	39434824	GENCODE basic			39401252	39434824
ENSG00000263730	ENST00000580135	ENST00000580135.1	HGNC:38970	MIR3937	39661216	39661321	39661216	GENCODE basic			39661216	39661321
ENSG00000264618	ENST00000581157	ENST00000581157.2	HGNC:46748	RN7SL732P	39786524	39786823	39786823	GENCODE basic			39786524	39786823
ENSG00000228232	ENST00000452570	ENST00000452570.1	HGNC:4159	GAPDHP1	39787132	39788136	39788136	GENCODE basic			39787132	39788136
ENSG00000270759	ENST00000603131	ENST00000603131.1	HGNC:54933	OOEPP1	39791580	39791904	39791904	GENCODE basic			39791580	39791904
ENSG00000261435	ENST00000562814	ENST00000562814.1			39837536	39848358	39848358	GENCODE basic			39837536	39848358
ENSG00000263972	ENST00000583319	ENST00000583319.1	HGNC:41596	MIR1587	39837561	39837613	39837561	GENCODE basic			39837561	39837613
ENSG00000214047	ENST00000442125	ENST00000442125.2	HGNC:36724	RPS11P7	39865424	39865888	39865424	GENCODE basic			39865424	39865888
ENSG00000285709	ENST00000649640	ENST00000649640.1			39908309	39914419	39908309	GENCODE basic			39908309	39914419
ENSG00000223486	ENST00000447651	ENST00000447651.1			40009276	40012182	40009276	GENCODE basic			40009276	40012182
ENSG00000183337	ENST00000413905	ENST00000413905.5	HGNC:20893	BCOR	40049815	40177329	40064549				40049815	40064549
ENSG00000183337	ENST00000378463	ENST00000378463.5	HGNC:20893	BCOR	40049815	40177329	40068120				40049815	40068120
ENSG00000183337	ENST00000397354	ENST00000397354.7	HGNC:20893	BCOR	40049815	40177329	40097403	GENCODE basic	alternative2		40051246	40097403
ENSG00000183337	ENST00000378455	ENST00000378455.8	HGNC:20893	BCOR	40049815	40177329	40177329	GENCODE basic	alternative2		40051246	40177329
ENSG00000183337	ENST00000378444	ENST00000378444.9	HGNC:20893	BCOR	40049815	40177329	40097958	GENCODE basic	principal4	NM_001123385.2	40051251	40097958
ENSG00000183337	ENST00000442018	ENST00000442018.5	HGNC:20893	BCOR	40049815	40177329	40062937				40051255	40062937
ENSG00000183337	ENST00000673391	ENST00000673391.1	HGNC:20893	BCOR	40049815	40177329	40096612	GENCODE basic	alternative2		40051272	40096612
ENSG00000183337	ENST00000427012	ENST00000427012.2	HGNC:20893	BCOR	40049815	40177329	40073756				40051312	40073756
ENSG00000183337	ENST00000672265	ENST00000672265.1	HGNC:20893	BCOR	40049815	40177329	40056233				40051318	40056233
