Gene stable ID	Karyotype band	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC ID	HGNC symbol
ENSG00000233921	p21.1	X	36374793	36375183	HGNC:36041	RPS15AP40
ENSG00000286475	p21.1	X	36678678	36866689		
ENSG00000249467	p21.1	X	36719918	36720221	HGNC:53959	H2AL1QP
ENSG00000275314	p21.1	X	36794500	36795460		
ENSG00000235510	p21.1	X	36957913	36958139		
ENSG00000223723	p21.1	X	36962196	36963425		
ENSG00000231069	p21.1	X	36985523	36986093		
ENSG00000198173	p21.1	X	37008366	37011664	HGNC:25301	FAM47C
ENSG00000243048	p21.1	X	37043023	37043571	HGNC:3988	FTHL18
ENSG00000214071	p21.1	X	37077851	37078401		
ENSG00000233810	p21.1	X	37291168	37292227	HGNC:42639	MOB1AP2
ENSG00000130962	p21.1	X	37349309	37457292	HGNC:9469	PRRG1
ENSG00000250349	p21.1	X	37349330	38687674		
ENSG00000241607	p21.1	X	37441523	37442068		
ENSG00000219186	p21.1	X	37492021	37492548	HGNC:33525	FTH1P19
ENSG00000234355	p21.1	X	37505310	37505860	HGNC:39091	FTH1P27
ENSG00000174678	p21.1	X	37541077	37545262	HGNC:34342	FAM47DP
ENSG00000147036	p21.1	X	37571569	37684463	HGNC:24767	LANCL3
ENSG00000047597	p21.1	X	37685791	37732130	HGNC:12811	XK
ENSG00000285944	p21.1	X	37700005	37700277	HGNC:53961	H2AL1SP
ENSG00000165168	p21.1	X	37780059	37813461	HGNC:2578	CYBB
ENSG00000165169	p11.4	X	37836757	37847571	HGNC:11694	DYNLT3
ENSG00000206983	p11.4	X	37870109	37870215	HGNC:34293	RNU6-49P
ENSG00000259977	p11.4	X	37906147	37949405		
ENSG00000224339	p11.4	X	37945884	37946775	HGNC:10546	SC4MOP
ENSG00000187516	p11.4	X	37990779	37991314	HGNC:18417	H2AP
ENSG00000229674	p11.4	X	37994252	37994918	HGNC:53960	H2AL1RP
ENSG00000147041	p11.4	X	38006553	38128819	HGNC:15589	SYTL5
ENSG00000221466	p11.4	X	38023895	38023986	HGNC:41600	MIR548AJ2
ENSG00000101955	p11.4	X	38149336	38220924	HGNC:11309	SRPX
ENSG00000226679	p11.4	X	38221391	38223667		
ENSG00000156313	p11.4	X	38269163	38327544	HGNC:10295	RPGR
ENSG00000252050	p11.4	X	38308112	38308241		
ENSG00000036473	p11.4	X	38352586	38421446	HGNC:8512	OTC
ENSG00000227988	p11.4	X	38395369	38395895	HGNC:42350	TDGF1P1
ENSG00000232370	p11.4	X	38479215	38479913		
ENSG00000229735	p11.4	X	38484752	38485264	HGNC:37966	FTLP16
ENSG00000233007	p11.4	X	38531923	38534174	HGNC:50288	UBTFL11
ENSG00000156298	p11.4	X	38561542	38688920	HGNC:11854	TSPAN7
ENSG00000238606	p11.4	X	38608215	38608276	HGNC:34103	RNU7-7P
ENSG00000235806	p11.4	X	38770331	38799658		
ENSG00000287729	p11.4	X	38779584	38800678		
ENSG00000165175	p11.4	X	38801432	38806537	HGNC:20715	MID1IP1
ENSG00000238123	p11.4	X	38801568	38803883	HGNC:40932	MID1IP1-AS1
ENSG00000207122	p11.4	X	39081180	39081285	HGNC:47554	RNU6-591P
ENSG00000224610	p11.4	X	39226103	39299786		
ENSG00000235304	p11.4	X	39304956	39327362	HGNC:50337	LINC01281
ENSG00000236747	p11.4	X	39367285	39391807	HGNC:50338	LINC01282
ENSG00000234191	p11.4	X	39401252	39434824	HGNC:50339	LINC01283
ENSG00000263730	p11.4	X	39661216	39661321	HGNC:38970	MIR3937
ENSG00000264618	p11.4	X	39786524	39786823	HGNC:46748	RN7SL732P
ENSG00000228232	p11.4	X	39787132	39788136	HGNC:4159	GAPDHP1
ENSG00000270759	p11.4	X	39791580	39791904		
ENSG00000261435	p11.4	X	39837536	39848358		
ENSG00000263972	p11.4	X	39837561	39837613	HGNC:41596	MIR1587
ENSG00000214047	p11.4	X	39865424	39865888	HGNC:36724	RPS11P7
ENSG00000285709	p11.4	X	39908309	39914419		
ENSG00000223486	p11.4	X	40009276	40012182		
ENSG00000183337	p11.4	X	40049815	40177329	HGNC:20893	BCOR
ENSG00000236393	p11.4	X	40262917	40299061		
ENSG00000214045	p11.4	X	40359183	40360726		
ENSG00000206677	p11.4	X	40492844	40492941		
ENSG00000235685	p11.4	X	40514895	40515508		
ENSG00000238730	p11.4	X	40535502	40535563	HGNC:45698	RNU7-164P
ENSG00000182220	p11.4	X	40579372	40606848	HGNC:18305	ATP6AP2
ENSG00000287098	p11.4	X	40620701	40622109		
ENSG00000238205	p11.4	X	40623566	40624136	HGNC:44205	MPC1L
ENSG00000185753	p11.4	X	40626921	40647561	HGNC:28589	CXorf38
ENSG00000180182	p11.4	X	40648305	40735858	HGNC:2370	MED14
ENSG00000234636	p11.4	X	40735400	40738701	HGNC:40162	MED14OS
ENSG00000270791	p11.4	X	40758483	40759050	HGNC:32172	DPRXP6
ENSG00000214031	p11.4	X	40760104	40761270		
ENSG00000237661	p11.4	X	40831844	40832562		
ENSG00000238222	p11.4	X	40834485	40836005	HGNC:7115	MKRN4P
ENSG00000232801	p11.4	X	40890647	40891537	HGNC:44687	SDCBPP3
ENSG00000189145	p11.4	X	40907987	40908391		
ENSG00000216866	p11.4	X	40934982	40935864	HGNC:36140	RPS2P55
ENSG00000287549	p11.4	X	41008427	41029306		
ENSG00000237931	p11.4	X	41076999	41077750	HGNC:49799	CLIC4P3
ENSG00000124486	p11.4	X	41085445	41236579	HGNC:12632	USP9X
ENSG00000223714	p11.4	X	41275739	41276778	HGNC:53966	LINC02601
ENSG00000199564	p11.4	X	41292798	41292916	HGNC:43402	RNA5SP502
ENSG00000238426	p11.4	X	41316488	41316589		
ENSG00000226641	p11.4	X	41322601	41323111		
ENSG00000215301	p11.4	X	41333348	41364472	HGNC:2745	DDX3X
ENSG00000264573	p11.4	X	41345576	41345876	HGNC:46031	RN7SL15P
ENSG00000188937	p11.4	X	41447343	41475710	HGNC:8082	NYX
ENSG00000225238	p11.4	X	41472264	41472653		
ENSG00000147044	p11.4	X	41514934	41923517	HGNC:1497	CASK
ENSG00000233033	p11.4	X	41520036	41522336	HGNC:40126	CASK-AS1
ENSG00000212207	p11.4	X	41570923	41571029	HGNC:48284	RNU6-1321P
ENSG00000217624	p11.4	X	41675760	41676494		
ENSG00000242559	p11.4	X	41683168	41683462	HGNC:46160	RN7SL144P
ENSG00000171659	p11.4	X	41688973	41697275	HGNC:4490	GPR34
ENSG00000171657	p11.4	X	41724181	41730130	HGNC:4533	GPR82
ENSG00000229822	p11.4	X	41748222	41748608		
ENSG00000237875	p11.4	X	41790192	41790250		
ENSG00000251807	p11.4	X	41919254	41919349	HGNC:47165	RNU6-202P
ENSG00000233103	p11.4	X	42047883	42054836		
ENSG00000228847	p11.4	X	42098754	42099173	HGNC:42188	ATP5MC2P4
ENSG00000212560	p11.4	X	42139425	42139530	HGNC:47593	RNU6-630P
ENSG00000228780	p11.4	X	42150511	42150744		
ENSG00000206896	p11.4	X	42174279	42174385	HGNC:48087	RNU6-1124P
ENSG00000231772	p11.4	X	42252459	42699385		
ENSG00000283737	p11.4	X	42285130	42285925		
ENSG00000287223	p11.3	X	42723209	42755892		
ENSG00000102055	p11.3	X	42777366	42778163	HGNC:16324	PPP1R2C
ENSG00000270280	p11.3	X	43000174	43000396		
ENSG00000224294	p11.3	X	43176994	43226598	HGNC:53590	PINCR
ENSG00000237206	p11.3	X	43278125	43279658	HGNC:33959	IMPDH1P4
ENSG00000285899	p11.3	X	43279560	43438657		
ENSG00000231750	p11.3	X	43407665	43408559	HGNC:23108	NANOGP10
ENSG00000189221	p11.3	X	43654907	43746824	HGNC:6833	MAOA
ENSG00000069535	p11.3	X	43766610	43882450	HGNC:6834	MAOB
ENSG00000124479	p11.3	X	43948776	43973395	HGNC:7678	NDP
ENSG00000236276	p11.3	X	43949732	43971582	HGNC:40395	NDP-AS1
ENSG00000214019	p11.3	X	44029332	44030921		
ENSG00000183690	p11.3	X	44147872	44343672	HGNC:26233	EFHC2
ENSG00000198414	p11.3	X	44283916	44286246	HGNC:39254	TATDN2P1
ENSG00000214018	p11.3	X	44309314	44310476	HGNC:10455	RRM2P3
ENSG00000200702	p11.3	X	44401603	44401704		
ENSG00000224054	p11.3	X	44466691	44468955		
ENSG00000215035	p11.3	X	44476027	44477422	HGNC:3636	FDPSP5
ENSG00000069509	p11.3	X	44523639	44542859	HGNC:28746	FUNDC1
ENSG00000233543	p11.3	X	44633692	44635232	HGNC:35443	CHTF8P1
ENSG00000229168	p11.3	X	44649129	44649719	HGNC:35713	RPL19P20
ENSG00000214016	p11.3	X	44741087	44741964	HGNC:36760	RPSAP61
ENSG00000242065	p11.3	X	44772773	44773061	HGNC:46307	RN7SL291P
ENSG00000189037	p11.3	X	44844021	44844888	HGNC:20476	DUSP21
ENSG00000147050	p11.3	X	44873188	45112779	HGNC:12637	KDM6A
ENSG00000147113	p11.3	X	45148373	45200901	HGNC:25866	DIPK2B
ENSG00000229491	p11.3	X	45183251	45333917		
ENSG00000237782	p11.3	X	45381527	45381995		
ENSG00000229563	p11.3	X	45505388	45632121	HGNC:49635	LINC01204
ENSG00000214282	p11.3	X	45632292	45633733	HGNC:33366	KRT8P14
ENSG00000204915	p11.3	X	45730752	45731688		
ENSG00000270069	p11.3	X	45745211	45770274	HGNC:49555	MIR222HG
ENSG00000207870	p11.3	X	45746157	45746266	HGNC:31601	MIR221
ENSG00000207725	p11.3	X	45747015	45747124	HGNC:31602	MIR222
ENSG00000269902	p11.3	X	45764772	45765299		
ENSG00000231566	p11.3	X	45847042	45851541	HGNC:53946	LINC02595
ENSG00000212347	p11.3	X	45892912	45892979		
ENSG00000215286	p11.3	X	45913118	45913871		
ENSG00000234613	p11.3	X	45913267	45917040		
ENSG00000224701	p11.3	X	45951762	45952333	HGNC:45081	MED28P4
ENSG00000213100	p11.3	X	45983365	45984364	HGNC:48895	KRT18P68
ENSG00000214009	p11.3	X	46058751	46059528	HGNC:43736	PCNAP3
ENSG00000278838	p11.3	X	46073651	46073935		
ENSG00000236751	p11.3	X	46256759	46327680	HGNC:49573	LINC01186
ENSG00000229145	p11.3	X	46288016	46289128	HGNC:134	ACTBP1
ENSG00000286306	p11.3	X	46400686	46402957		
ENSG00000231235	p11.3	X	46418450	46420079		
ENSG00000235587	p11.3	X	46439709	46440714	HGNC:4143	GAPDHP65
ENSG00000147121	p11.3	X	46447292	46497422	HGNC:26007	KRBOX4
ENSG00000224072	p11.3	X	46454097	46457199		
ENSG00000251192	p11.3	X	46497727	46545457	HGNC:17625	ZNF674
ENSG00000199226	p11.3	X	46517766	46517868	HGNC:10229	RNU6-50P
ENSG00000230844	p11.3	X	46545438	46548841	HGNC:44266	ZNF674-AS1
ENSG00000277721	p11.3	X	46553522	46553775		
ENSG00000270499	p11.3	X	46560928	46562749	HGNC:49230	MKI67P1
ENSG00000147119	p11.3	X	46573765	46598496	HGNC:13817	CHST7
ENSG00000065923	p11.3	X	46599251	46759118	HGNC:17123	SLC9A7
ENSG00000213997	p11.3	X	46646594	46647330	HGNC:42454	PGAM1P7
ENSG00000226048	p11.3	X	46684765	46685707	HGNC:42429	YBX1P8
ENSG00000215284	p11.3	X	46725164	46725818		
ENSG00000102218	p11.3	X	46837043	46882358	HGNC:10274	RP2
ENSG00000204904	p11.3	X	46887417	46899703	HGNC:17986	LINC01545
ENSG00000102221	p11.3	X	46912276	47061242	HGNC:22982	JADE3
ENSG00000130988	p11.3	X	47078355	47093314	HGNC:9989	RGN
ENSG00000206685	p11.3	X	47087506	47087612	HGNC:48152	RNU6-1189P
ENSG00000201659	p11.3	X	47132671	47132826	HGNC:10109	RNU12-2P
ENSG00000147123	p11.3	X	47142216	47145038	HGNC:20372	NDUFB11
ENSG00000182872	p11.3	X	47145221	47186813	HGNC:9896	RBM10
ENSG00000237351	p11.3	X	47156638	47158199		
ENSG00000130985	p11.3	X	47190861	47215128	HGNC:12469	UBA1
ENSG00000224975	p11.3	X	47204921	47205865	HGNC:6060	INE1
ENSG00000102225	p11.3	X	47217860	47229997	HGNC:8749	CDK16
ENSG00000102226	p11.3	X	47232866	47248328	HGNC:12609	USP11
ENSG00000237623	p11.3	X	47273366	47274390		
ENSG00000266158	p11.3	X	47280811	47281063	HGNC:46801	RN7SL785P
ENSG00000203402	p11.3	X	47297852	47298721		
ENSG00000147117	p11.3	X	47370578	47414498	HGNC:12942	ZNF157
ENSG00000221459	p11.3	X	47388649	47388777	HGNC:33621	SNORA11C
ENSG00000232009	p11.3	X	47389961	47392300		
ENSG00000226556	p11.3	X	47438736	47439774	HGNC:45228	NPM1P49
ENSG00000147124	p11.3	X	47445879	47482946	HGNC:13107	ZNF41
ENSG00000277605	p11.3	X	47476822	47477152		
ENSG00000196741	p11.3	X	47483571	47484823	HGNC:27333	LINC01560
ENSG00000235636	p11.3	X	47512602	47513483	HGNC:38472	NUS1P1
ENSG00000078061	p11.3	X	47561100	47571920	HGNC:646	ARAF
ENSG00000008056	p11.23	X	47571901	47619857	HGNC:11494	SYN1
ENSG00000283743	p11.23	X	47575128	47628742		
ENSG00000102265	p11.3	X	47582408	47586789	HGNC:11820	TIMP1
ENSG00000263858	p11.3	X	47587429	47587505	HGNC:41694	MIR4769
ENSG00000126759	p11.23	X	47623172	47630305	HGNC:8864	CFP
ENSG00000126767	p11.23	X	47635521	47650604	HGNC:3321	ELK1
ENSG00000126756	p11.23	X	47651796	47659180	HGNC:12641	UXT
ENSG00000267064	p11.23	X	47658833	47692326	HGNC:49239	UXT-AS1
ENSG00000187893	p11.23	X	47707191	47753456	HGNC:27864	CXXC1P1
ENSG00000224656	p11.23	X	47718002	47719099		
ENSG00000229968	p11.23	X	47776827	47778697		
ENSG00000188459	p11.23	X	47803296	47804789	HGNC:20801	WASF4P
ENSG00000197779	p11.23	X	47836902	48002561	HGNC:13156	ZNF81
ENSG00000224401	p11.23	X	47840963	47841702	HGNC:35901	RPL7P57
ENSG00000147118	p11.23	X	47974851	48003989	HGNC:13001	ZNF182
ENSG00000221994	p11.23	X	47983356	48071658	HGNC:28855	ZNF630
ENSG00000171489	p11.23	X	48004336	48009729	HGNC:31353	SPACA5
ENSG00000277541	p11.23	X	48056310	48066583	HGNC:41215	ZNF630-AS1
ENSG00000287757	p11.23	X	48071226	48078721		
ENSG00000171483	p11.23	X	48107992	48120210	HGNC:19652	SSX6P
ENSG00000171478	p11.23	X	48130657	48132613	HGNC:19142	SPACA5B
ENSG00000230241	p11.23	X	48135658	48136159		
ENSG00000233139	p11.23	X	48153868	48155941		
ENSG00000201517	p11.23	X	48153980	48154074	HGNC:47670	RNU6-707P
ENSG00000225198	p11.23	X	48156367	48166350	HGNC:30640	SSXP3
ENSG00000238032	p11.23	X	48177731	48178023		
ENSG00000165583	p11.23	X	48186220	48196763	HGNC:11339	SSX5
ENSG00000234780	p11.23	X	48197221	48199431		
ENSG00000252856	p11.23	X	48206258	48206374	HGNC:43403	RNA5SP503
ENSG00000204368	p11.23	X	48212791	48218010		
ENSG00000231568	p11.23	X	48228833	48228959		
ENSG00000229662	p11.23	X	48244894	48245745		
ENSG00000126752	p11.23	X	48255317	48267444	HGNC:11335	SSX1
ENSG00000232813	p11.23	X	48274904	48275047		
ENSG00000241207	p11.23	X	48276704	48277578		
ENSG00000237345	p11.23	X	48279423	48281792		
ENSG00000204648	p11.23	X	48296816	48306179	HGNC:19655	SSX9P
ENSG00000234391	p11.23	X	48306769	48309055		
ENSG00000227302	p11.23	X	48322349	48326683	HGNC:30645	SSXP9
ENSG00000230100	p11.23	X	48333675	48334439		
ENSG00000270747	p11.23	X	48336899	48337169		
ENSG00000165584	p11.23	X	48346427	48356707	HGNC:11337	SSX3
ENSG00000225055	p11.23	X	48357125	48359495		
ENSG00000234448	p11.23	X	48371905	48372095		
ENSG00000268009	p11.23	X	48383516	48393347	HGNC:11338	SSX4
ENSG00000269791	p11.23	X	48402078	48411910	HGNC:16880	SSX4B
ENSG00000231603	p11.23	X	48412303	48415285		
ENSG00000231489	p11.23	X	48423342	48423468		
ENSG00000235350	p11.23	X	48433201	48441619		
ENSG00000226971	p11.23	X	48446893	48448879		
ENSG00000017483	p11.23	X	48458537	48470260	HGNC:18070	SLC38A5
ENSG00000068438	p11.23	X	48476021	48486364	HGNC:13254	FTSJ1
ENSG00000224292	p11.23	X	48506523	48508838		
ENSG00000102312	p11.23	X	48508962	48520814	HGNC:17652	PORCN
ENSG00000147155	p11.23	X	48521799	48528716	HGNC:3133	EBP
ENSG00000286268	p11.23	X	48521806	48545469		
ENSG00000276823	p11.23	X	48524480	48524806		
ENSG00000068354	p11.23	X	48539714	48562609	HGNC:8092	TBC1D25
ENSG00000204620	p11.23	X	48568014	48574860		
ENSG00000102317	p11.23	X	48574449	48581162	HGNC:9900	RBM3
ENSG00000228343	p11.23	X	48579774	48581157		
ENSG00000279528	p11.23	X	48580741	48581165		
ENSG00000220125	p11.23	X	48583093	48583339	HGNC:29704	MRPL32P1
ENSG00000101940	p11.23	X	48590042	48608869	HGNC:14352	WDR13
ENSG00000231725	p11.23	X	48636165	48637135	HGNC:37438	VN1R110P
ENSG00000015285	p11.23	X	48676596	48691427	HGNC:12731	WAS
ENSG00000101945	p11.23	X	48695554	48709016	HGNC:11479	SUV39H1
ENSG00000232828	p11.23	X	48698963	48737163		
ENSG00000206723	p11.23	X	48724455	48724561	HGNC:48019	RNU6-1056P
ENSG00000171433	p11.23	X	48761747	48773648	HGNC:33358	GLOD5
ENSG00000233585	p11.23	X	48775644	48776970		
ENSG00000207367	p11.23	X	48776965	48777071	HGNC:34273	RNU6-29P
ENSG00000102145	p11.23	X	48786562	48794311	HGNC:4170	GATA1
ENSG00000094631	p11.23	X	48801377	48824982	HGNC:14064	HDAC6
ENSG00000187682	p11.23	X	48826513	48830138	HGNC:5174	ERAS
ENSG00000102109	p11.23	X	48831096	48835610	HGNC:17301	PCSK1N
ENSG00000102103	p11.23	X	48890197	48903143	HGNC:9330	PQBP1
ENSG00000126768	p11.23	X	48893447	48898143	HGNC:17310	TIMM17B
ENSG00000102100	p11.23	X	48903180	48911958	HGNC:11022	SLC35A2
ENSG00000102096	p11.23	X	48913182	48919024	HGNC:8987	PIM2
ENSG00000068308	p11.23	X	48922028	48958386	HGNC:25402	OTUD5
ENSG00000279155	p11.23	X	48939992	48940808		
ENSG00000223309	p11.23	X	48959179	48959282	HGNC:47685	RNU6-722P
ENSG00000102057	p11.23	X	48961378	48971844	HGNC:6237	KCND1
ENSG00000068400	p11.23	X	48973720	49002264	HGNC:18706	GRIPAP1
ENSG00000068323	p11.23	X	49028726	49043410	HGNC:11752	TFE3
ENSG00000147144	p11.23	X	49053572	49069857	HGNC:28910	CCDC120
ENSG00000243279	p11.23	X	49071161	49074002	HGNC:28911	PRAF2
ENSG00000288053	p11.23	X	49071470	49079887		
ENSG00000196998	p11.23	X	49074433	49101170	HGNC:28912	WDR45
ENSG00000206936	p11.23	X	49082028	49082165	HGNC:46988	RNU4-52P
ENSG00000068394	p11.23	X	49113407	49123735	HGNC:30677	GPKOW
ENSG00000265033	p11.23	X	49152651	49152944	HGNC:46278	RN7SL262P
ENSG00000280116	p11.23	X	49155242	49157351		
ENSG00000269313	p11.23	X	49162564	49168483	HGNC:30006	MAGIX
ENSG00000279422	p11.23	X	49165576	49165972		
ENSG00000102007	p11.23	X	49171898	49175235	HGNC:9087	PLP2
ENSG00000012211	p11.23	X	49174802	49186528	HGNC:6645	PRICKLE3
ENSG00000102003	p11.23	X	49187815	49200199	HGNC:11506	SYP
ENSG00000237341	p11.23	X	49198966	49202454	HGNC:40571	SYP-AS1
ENSG00000102001	p11.23	X	49205063	49233371	HGNC:1393	CACNA1F
ENSG00000230216	p11.23	X	49233956	49234501	HGNC:5252	HSPB1P2
ENSG00000101997	p11.23	X	49235470	49250520	HGNC:28909	CCDC22
ENSG00000049768	p11.23	X	49250438	49270477	HGNC:6106	FOXP3
ENSG00000286181	p11.23	X	49262866	49270521		
ENSG00000049769	p11.23	X	49269793	49301461	HGNC:14944	PPP1R3F
ENSG00000270012	p11.23	X	49273054	49275768		
ENSG00000286031	p11.23	X	49279677	49281440		
ENSG00000215274	p11.23	X	49303669	49319844	HGNC:30968	GAGE10
ENSG00000224659	p11.23	X	49322057	49329384	HGNC:17778	GAGE12J
ENSG00000274274	p11.23	X	49331616	49338952	HGNC:29081	GAGE13
ENSG00000275113	p11.23	X	49341192	49345922	HGNC:31960	GAGE2E
ENSG00000236737	p11.23	X	49529869	49529985	HGNC:26779	GAGE12B
ENSG00000237671	p11.23	X	49532211	49539538	HGNC:28402	GAGE12C
ENSG00000227488	p11.23	X	49541767	49549094	HGNC:31904	GAGE12D
ENSG00000236362	p11.23	X	49551278	49568218	HGNC:31906	GAGE12F
ENSG00000216649	p11.23	X	49551333	49558649	HGNC:31905	GAGE12E
ENSG00000215269	p11.23	X	49570434	49577754	HGNC:31907	GAGE12G
ENSG00000224902	p11.23	X	49579983	49587301	HGNC:31908	GAGE12H
ENSG00000189064	p11.23	X	49589529	49596827	HGNC:4099	GAGE2A
ENSG00000205777	p11.23	X	49599025	49608536	HGNC:4098	GAGE1
ENSG00000213856	p11.23	X	49632500	49633349	HGNC:12670	VDAC1P2
ENSG00000227391	p11.23	X	49664844	49668680	HGNC:10525	SALL1P1
ENSG00000068985	p11.23	X	49687447	49695984	HGNC:4107	PAGE1
ENSG00000101951	p11.23	X	49829260	49834264	HGNC:4108	PAGE4
ENSG00000234390	p11.23	X	49876724	49879241	HGNC:27249	USP27X-AS1
ENSG00000273820	p11.23	X	49879484	49882558	HGNC:13486	USP27X
ENSG00000220132	p11.23	X	49911620	49912362		
ENSG00000171365	p11.23	X	49922596	50099235	HGNC:2023	CLCN5
ENSG00000201341	p11.23	X	49945336	49945442	HGNC:47384	RNU6-421P
ENSG00000207758	p11.23	X	50003148	50003238	HGNC:32795	MIR532
ENSG00000207768	p11.23	X	50003503	50003588	HGNC:31559	MIR188
ENSG00000207785	p11.23	X	50008431	50008514	HGNC:32134	MIR500A
ENSG00000208015	p11.23	X	50008964	50009028	HGNC:32022	MIR362
ENSG00000211538	p11.23	X	50009722	50009805	HGNC:32135	MIR501
ENSG00000239057	p11.23	X	50010672	50010750	HGNC:38223	MIR500B
ENSG00000207970	p11.23	X	50013241	50013337	HGNC:32916	MIR660
ENSG00000272080	p11.23	X	50014598	50014683	HGNC:32136	MIR502
ENSG00000181977	p11.22	X	50156159	50156371	HGNC:31855	PYY3
ENSG00000202495	p11.22	X	50171197	50171297		
ENSG00000147081	p11.22	X	50190777	50201007	HGNC:374	AKAP4
ENSG00000147082	p11.22	X	50202713	50351914	HGNC:18709	CCNB3
ENSG00000274588	p11.22	X	50365409	50470825	HGNC:32395	DGKK
ENSG00000158352	p11.22	X	50591647	50814302	HGNC:29215	SHROOM4
ENSG00000222303	p11.22	X	50649641	50649740	HGNC:47898	RNU6-935P
ENSG00000226881	p11.22	X	50905438	50905866	HGNC:42981	H3P44
ENSG00000130385	p11.22	X	50910735	50916641	HGNC:1068	BMP15
ENSG00000238190	p11.22	X	50931114	50931548	HGNC:39097	HMGB1P15
ENSG00000227493	p11.22	X	51030422	51031357		
ENSG00000230926	p11.22	X	51082818	51091228		
ENSG00000230317	p11.22	X	51095836	51224432	HGNC:50342	LINC01284
ENSG00000237926	p11.22	X	51162864	51163677		
ENSG00000229151	p11.22	X	51190598	51396462		
ENSG00000287767	p11.22	X	51325790	51330662		
ENSG00000122824	p11.22	X	51332231	51337525	HGNC:17621	NUDT10
ENSG00000226530	p11.22	X	51395959	51465661		
ENSG00000187690	p11.22	X	51406948	51408843	HGNC:33738	EZHIP
ENSG00000196368	p11.22	X	51490011	51496592	HGNC:18011	NUDT11
ENSG00000234766	p11.22	X	51498490	51511005	HGNC:51162	LINC01496
ENSG00000224109	p11.22	X	51617024	51618968	HGNC:43880	CENPVL3
ENSG00000283093	p11.22	X	51681212	51682831	HGNC:43879	CENPVL2
ENSG00000223591	p11.22	X	51710512	51712131	HGNC:31851	CENPVL1
ENSG00000189369	p11.22	X	51743442	51746232	HGNC:4622	GSPT2
ENSG00000179222	p11.22	X	51803007	51902354	HGNC:6813	MAGED1
ENSG00000236576	p11.22	X	51856968	51858066		
ENSG00000252377	p11.22	X	51870706	51870809	HGNC:47467	RNU6-504P
ENSG00000228827	p11.22	X	51903338	51903850		
ENSG00000232951	p11.22	X	51921864	51922499	HGNC:39837	IPO7P1
ENSG00000237528	p11.22	X	51923552	51923740		
ENSG00000232562	p11.22	X	51979223	51980012	HGNC:44566	TPMTP3
ENSG00000182776	p11.22	X	52050860	52054255		
ENSG00000279750	p11.22	X	52053176	52055684		
ENSG00000187243	p11.22	X	52061827	52069248	HGNC:22880	MAGED4B
ENSG00000221705	p11.22	X	52063347	52063474	HGNC:33623	SNORA11E
ENSG00000154545	p11.22	X	52184823	52192268	HGNC:23793	MAGED4
ENSG00000221475	p11.22	X	52190621	52190748	HGNC:33622	SNORA11D
ENSG00000287215	p11.22	X	52195836	52265919		
ENSG00000179028	p11.22	X	52199840	52203235		
ENSG00000276474	p11.22	X	52326166	52326762		
ENSG00000275335	p11.22	X	52336557	52336642	HGNC:50167	MIR8088
ENSG00000155622	p11.22	X	52369021	52375680	HGNC:4112	XAGE2
ENSG00000225957	p11.22	X	52382053	52385614		
ENSG00000276897	p11.22	X	52409772	52410432		
ENSG00000224556	p11.22	X	52422069	52459066		
ENSG00000250084	p11.22	X	52448587	52451138		
ENSG00000278358	p11.22	X	52480836	52481131		
ENSG00000278160	p11.22	X	52481515	52483950		
ENSG00000275643	p11.22	X	52485046	52485912	HGNC:39699	RBM22P6
ENSG00000204379	p11.22	X	52495808	52500812	HGNC:4111	XAGE1A
ENSG00000223395	p11.22	X	52509903	52510182	HGNC:39700	RBM22P7
ENSG00000204382	p11.22	X	52512077	52520803	HGNC:25400	XAGE1B
ENSG00000277289	p11.22	X	52531709	52532051		
ENSG00000227058	p11.22	X	52545151	52547695		
ENSG00000231593	p11.22	X	52561769	52562301		
ENSG00000228771	p11.22	X	52583989	52586312		
ENSG00000185319	p11.22	X	52598494	52603289	HGNC:30641	SSXP4
ENSG00000197185	p11.22	X	52606535	52611758	HGNC:30637	SSXP1
ENSG00000234792	p11.22	X	52612656	52613523		
ENSG00000157965	p11.22	X	52622935	52633948	HGNC:19654	SSX8P
ENSG00000187754	p11.22	X	52644061	52654900	HGNC:19653	SSX7
ENSG00000228354	p11.22	X	52655207	52657254		
ENSG00000222608	p11.22	X	52665231	52665347	HGNC:43404	RNA5SP504
ENSG00000225508	p11.22	X	52672718	52677051	HGNC:30642	SSXP5
ENSG00000237275	p11.22	X	52687363	52687633		
ENSG00000241476	p11.22	X	52696896	52707189	HGNC:11336	SSX2
ENSG00000223958	p11.22	X	52707602	52709933		
ENSG00000225397	p11.22	X	52722338	52722524		
ENSG00000229826	p11.22	X	52735901	52736107		
ENSG00000268447	p11.22	X	52751132	52790305	HGNC:22263	SSX2B
ENSG00000269281	p11.22	X	52770809	52771080		
ENSG00000226867	p11.22	X	52781452	52785786		
ENSG00000204363	p11.22	X	52796144	52797427	HGNC:33178	SPANXN5
ENSG00000229885	p11.22	X	52801400	52801529		
ENSG00000171405	p11.22	X	52812204	52818301	HGNC:30930	XAGE5
ENSG00000196395	p11.22	X	52824269	52829267		
ENSG00000224781	p11.22	X	52832704	52833899	HGNC:45101	EIF4A2P4
ENSG00000171402	p11.22	X	52862525	52868083	HGNC:14618	XAGE3
ENSG00000179304	p11.22	X	52891306	52908560	HGNC:31962	FAM156B
ENSG00000286118	p11.22	X	52925956	52929574		
ENSG00000268350	p11.22	X	52926402	52995472	HGNC:30114	FAM156A
